"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10431","testCheckboxes()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.CheckboxesTest","iscteiul.ista.seleniumtests.CheckboxesTest","testCheckboxes"
"","3928","testCheckboxes()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.DropdownTest","iscteiul.ista.seleniumtests.DropdownTest","testCheckboxes"
"","2673","testValidLogin()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.FormAuthenticationTest","iscteiul.ista.seleniumtests.FormAuthenticationTest","testValidLogin"
"","2282","testDynamicLoading()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.DynamicLoadingTest","iscteiul.ista.seleniumtests.DynamicLoadingTest","testDynamicLoading"
"","2703","testSuccessfulFileUpload()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.FileUploadPageTest","iscteiul.ista.seleniumtests.FileUploadPageTest","testSuccessfulFileUpload"
"","7162","testSamplerIconInteraction()","","2025-12-02","passed","2025-12-02","","Sampler_BasicFeatures.tests.SamplerBasicFeaturesTest","Sampler_BasicFeatures.tests.SamplerBasicFeaturesTest","testSamplerIconInteraction"
